time[s] ch1[V] ch2[V]
-3.834999999999999867e-03 -2.160212140107645451e-01 -1.535130989241235422e-01
-3.833999999999999735e-03 -2.230628659432268290e-01 -1.708138006938169640e-01
-3.833000000000000036e-03 -2.244041329779815630e-01 -1.701353418008878238e-01
-3.831999999999999903e-03 -2.197096983563400219e-01 -1.694568829079586558e-01
-3.830999999999999770e-03 -2.217215989084720951e-01 -1.691176534614940719e-01
-3.829999999999999637e-03 -2.217215989084720951e-01 -1.708138006938169640e-01
-3.828999999999999938e-03 -2.230628659432268290e-01 -1.701353418008878238e-01
-3.827999999999999806e-03 -2.250747664953589022e-01 -1.697961123544232398e-01
-3.826999999999999673e-03 -2.250747664953589022e-01 -1.660645884433128994e-01
-3.825999999999999974e-03 -2.237334994606041960e-01 -1.697961123544232398e-01
-3.824999999999999841e-03 -2.210509653910947558e-01 -1.691176534614940719e-01
-3.823999999999999708e-03 -2.250747664953589022e-01 -1.691176534614940719e-01
-3.823000000000000009e-03 -2.244041329779815630e-01 -1.721707184796752721e-01
-3.821999999999999877e-03 -2.237334994606041960e-01 -1.718314890332106881e-01
-3.820999999999999744e-03 -2.227275491845381594e-01 -1.670822767827066235e-01
-3.819999999999999611e-03 -2.223922324258494621e-01 -1.714922595867461319e-01
-3.818999999999999912e-03 -2.210509653910947558e-01 -1.674215062291712075e-01
-3.817999999999999779e-03 -2.244041329779815630e-01 -1.694568829079586558e-01
-3.816999999999999647e-03 -2.233981827019154986e-01 -1.670822767827066235e-01
-3.815999999999999948e-03 -2.257454000127362692e-01 -1.725099479261398561e-01
-3.814999999999999815e-03 -2.237334994606041960e-01 -1.714922595867461319e-01
-3.813999999999999682e-03 -2.223922324258494621e-01 -1.694568829079586558e-01
-3.812999999999999983e-03 -2.217215989084720951e-01 -1.677607356756357637e-01
-3.811999999999999850e-03 -2.220569156671607924e-01 -1.704745712473523800e-01
-3.810999999999999718e-03 -2.227275491845381594e-01 -1.684391945685649317e-01
-3.810000000000000019e-03 -2.203803318737173889e-01 -1.694568829079586558e-01
-3.808999999999999886e-03 -2.240688162192928656e-01 -1.728491773726044400e-01
-3.807999999999999753e-03 -2.247394497366702326e-01 -1.670822767827066235e-01
-3.806999999999999620e-03 -2.230628659432268290e-01 -1.670822767827066235e-01
