# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
1.202708334768512032e+04,1.757625498923377050e+00,5.543745553951254929e-02,-1.570424494181492880e+00,1.844171889985663990e-02
1.213859262690628930e+04,1.782732162528246844e+00,6.118261387394748063e-02,-1.550955184180341284e+00,1.823542314787230181e-02
1.225113576604117770e+04,1.809078342819322227e+00,3.913423538353487385e-02,-1.563433068929920067e+00,3.140764291893453908e-02
1.236472235053714940e+04,1.829486468273515687e+00,4.771256849765282554e-02,-1.564157369778218509e+00,2.189667359214593143e-02
1.247936205471311405e+04,1.872496721057318236e+00,3.569605826917588570e-02,-1.554268775187233720e+00,3.144883773452128439e-02
1.259506464258358938e+04,1.859390623244099983e+00,7.546261421895737731e-02,-1.564870610297593334e+00,2.633266000764285589e-02
1.271183996869027578e+04,1.902679606323556483e+00,3.207542896149990358e-02,-1.559702038745645281e+00,3.127635676886093147e-02
1.282969797894147450e+04,1.885669809780573969e+00,5.414678484780621748e-02,-1.573647300837404117e+00,2.936420416926497495e-02
1.294864871145904908e+04,1.904552563001273624e+00,7.409427932761146474e-02,-1.565558376737847812e+00,3.638143164387237088e-02
1.306870229743347591e+04,1.947330104582029708e+00,4.659624111367469124e-02,-1.569148598856244581e+00,2.912365462759202578e-02
1.318986896198669274e+04,1.965013647216710124e+00,6.362506516751022245e-02,-1.552722155450439567e+00,2.479411826319942447e-02
1.331215902504307633e+04,1.986351638368477834e+00,5.201077169869151168e-02,-1.572934912013421949e+00,2.632050621534792745e-02
1.343558290220826348e+04,2.008051738007609721e+00,5.984131547487363950e-02,-1.571362975376751958e+00,3.263247855709102557e-02
1.356015110565634677e+04,2.049182502099586856e+00,4.537216447381513251e-02,-1.578214631236021681e+00,2.842202527250595884e-02
1.368587424502517752e+04,2.068891308490975245e+00,4.984741076783542196e-02,-1.569217786982261442e+00,2.202692882474581101e-02
1.381276302832009424e+04,2.093304395430750642e+00,3.741127458851465498e-02,-1.569205431124941708e+00,1.886214567643914458e-02
1.394082826282578571e+04,2.098023348992857695e+00,4.757368964444019799e-02,-1.574305831486316531e+00,1.432531940587784131e-02
1.407008085602686515e+04,2.136314930763588471e+00,4.183057893907171643e-02,-1.565757901076208380e+00,2.286387188568457171e-02
1.420053181653681713e+04,2.146870511220774880e+00,5.886035827742994164e-02,-1.584668789335252903e+00,2.102603951566943755e-02
1.433219225503573944e+04,2.147478069314653570e+00,4.203972447095014747e-02,-1.582701016124764548e+00,1.496057912214689839e-02
1.446507338521647216e+04,2.170767255058313250e+00,5.776346671818730766e-02,-1.595521706569258624e+00,4.077775012722320569e-02
1.459918652473980183e+04,2.221927686085474640e+00,6.210158697828706970e-02,-1.587246319927315907e+00,2.145289891945777183e-02
1.473454309619834385e+04,2.211088366044843490e+00,3.251657386718596887e-02,-1.592835884486041298e+00,1.823661939153850900e-02
1.487115462808953816e+04,2.239755678483918100e+00,5.317185238092485972e-02,-1.590678431131119508e+00,3.311681600595450109e-02
1.500903275579736510e+04,2.252869235798002912e+00,6.605429081074475073e-02,-1.589924125124499543e+00,1.828630061006562141e-02
1.514818922258347266e+04,2.294955306399087736e+00,4.070928571547842434e-02,-1.582411246364936019e+00,2.423055166514936215e-02
1.528863588058729511e+04,2.354821772667913926e+00,6.628655657926536826e-02,-1.588974819605620814e+00,2.371268798542289225e-02
1.543038469183564484e+04,2.372344441768471146e+00,3.276915021502337100e-02,-1.574048049000117633e+00,2.232738407542581016e-02
1.557344772926135192e+04,2.408917991547421700e+00,5.855196016809659926e-02,-1.584632552616736856e+00,1.785569912393552075e-02
1.571783717773161152e+04,2.350389009534564089e+00,4.746230845935986431e-02,-1.590004244792441845e+00,2.553339809696515694e-02
1.586356533508589564e+04,2.437041898427198205e+00,6.423861616319540002e-02,-1.584104493515863465e+00,1.799670760929404298e-02
