# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
1.788566161883461803e+01,5.175841835787732492e+01,1.887148515471998578e-01,2.115636010279216883e+00,2.610865207740440275e-03
1.805148879221109226e+01,5.134607579450512560e+01,1.315487125251183775e-01,2.109030932504168732e+00,2.114740212557493677e-03
1.821885343465167040e+01,5.111505572052718804e+01,1.776448720854549024e-01,2.105901995046436603e+00,2.584160711719069373e-03
1.838776980082327839e+01,5.069247890359430642e+01,1.649849352425541982e-01,2.101897851659839667e+00,3.299379916693148760e-03
1.855825227755518725e+01,5.036250194438754590e+01,1.042054867924698536e-01,2.098202945334345149e+00,2.376411576372017970e-03
1.873031538506437599e+01,5.001696266655761747e+01,1.655368809625213933e-01,2.095200949796669043e+00,3.953686260971095087e-03
1.890397377819221347e+01,4.978899699461715045e+01,1.524102039701671074e-01,2.089637919365562091e+00,3.193266963952739405e-03
1.907924224765266175e+01,4.952897732800855124e+01,1.163974864636748707e-01,2.084770241956245940e+00,2.295271581382593747e-03
1.925613572129198658e+01,4.907694581657390387e+01,1.184042711679742926e-01,2.080649493532863659e+00,2.553604791123576054e-03
1.943466926536020267e+01,4.866083795205386053e+01,1.053262816839703464e-01,2.078405370588085610e+00,3.349937553640037775e-03
1.961485808579431378e+01,4.833931034416860228e+01,7.572098664304492688e-02,2.073126833029899529e+00,3.077714043092386921e-03
1.979671752951332664e+01,4.795165808028583143e+01,1.500882215439965361e-01,2.068402745105037077e+00,1.756522050714944341e-03
1.998026308572550747e+01,4.761490007128944768e+01,1.639263346300857682e-01,2.063865891001783304e+00,3.880556882406012691e-03
2.016551038724746547e+01,4.739728108742954760e+01,1.396900632651381646e-01,2.061727831073401074e+00,1.775720997372616733e-03
2.035247521183577746e+01,4.705076389637159906e+01,9.431298585190073247e-02,2.057923169130207786e+00,2.363330999635541302e-03
2.054117348353064187e+01,4.674467981175289566e+01,8.838523476912187038e-02,2.055249708488906979e+00,2.768147503076789744e-03
2.073162127401231203e+01,4.637750236652977520e+01,8.589700640086277150e-02,2.051756524111411295e+00,3.825992144075163973e-03
2.092383480396976836e+01,4.599301424700539798e+01,1.320670047566601946e-01,2.047311567892120987e+00,2.642876462845776195e-03
2.111783044448244340e+01,4.570525336345041723e+01,1.040049674124911283e-01,2.041563155405557772e+00,3.283545291790164206e-03
2.131362471841437767e+01,4.534492190449551430e+01,1.425297184707188802e-01,2.038761938075821512e+00,2.073079580917923815e-03
2.151123430182167340e+01,4.502851541162313254e+01,1.497341265168086744e-01,2.035267391410378046e+00,3.316792565221695233e-03
2.171067602537264918e+01,4.473997797888864625e+01,1.263598708672792892e-01,2.032772087159729235e+00,2.457384821766439142e-03
2.191196687578148428e+01,4.433413853628444201e+01,1.249339994126175968e-01,2.028956065146329646e+00,2.385599783090651752e-03
2.211512399725488720e+01,4.402845508795651597e+01,1.212763636940971113e-01,2.023534126440806435e+00,1.998314713432306020e-03
2.232016469295233563e+01,4.369223868526408694e+01,9.033226803758587220e-02,2.019392756389835064e+00,3.319877158753026074e-03
2.252710642645980244e+01,4.333576300614243593e+01,9.920030338372867740e-02,2.015882026021407647e+00,3.686016658806435912e-03
2.273596682327716323e+01,4.298720061168204154e+01,1.140508340420436501e-01,2.014204581244064318e+00,2.350443030776559056e-03
2.294676367231935998e+01,4.269956063741052787e+01,2.020709870727906143e-01,2.009709208224168098e+00,3.027244323498123803e-03
2.315951492743153395e+01,4.245561296398118145e+01,1.083557731334456875e-01,2.005881275692151355e+00,3.574793045557719210e-03
2.337423870891814914e+01,4.204202685398810502e+01,1.044268107883675606e-01,2.003761001648207252e+00,3.510049322499691777e-03
2.359095330508635158e+01,4.176658280722620731e+01,1.415294337552991111e-01,1.998739829684664127e+00,1.994187424977627437e-03
2.380967717380358195e+01,4.134835491450365197e+01,1.326631230479991819e-01,1.994895634207730861e+00,2.640410338130543249e-03
2.403042894406968344e+01,4.097195075441483425e+01,1.101606715658979690e-01,1.991923360342758853e+00,2.331046338533913388e-03
2.425322741760352940e+01,4.073427643788947705e+01,1.533415539097587321e-01,1.989730316610875516e+00,2.938060874694313224e-03
