# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
2.470504055456825387e+00,9.721735956375724186e+01,1.921258998291662523e-01,2.916783627293738412e+00,3.231006317315812757e-03
2.516527051405391457e+00,9.725517454306364584e+01,3.551119033756711119e-01,2.911899023392507502e+00,3.920336786935414361e-03
2.563407409296515116e+00,9.711591767017580423e+01,3.304762042829850199e-01,2.906903432570105750e+00,3.675281497975870035e-03
2.611161100917459343e+00,9.718760477549753318e+01,2.950874557225207639e-01,2.902135493942490818e+00,3.677857575526551417e-03
2.659804395593758475e+00,9.685466106382985174e+01,2.455119668210815065e-01,2.900208777261400694e+00,3.271752012364927392e-03
2.709353865732051503e+00,9.672542266182492199e+01,1.309327309125891403e-01,2.892752731812476608e+00,3.160667974974869752e-03
2.759826392466179890e+00,9.667997741234556486e+01,2.328938049384019215e-01,2.891558896337000029e+00,3.684406597006026959e-03
2.811239171408463910e+00,9.657189625519325205e+01,2.560417914938248329e-01,2.886127911109178878e+00,2.901392073709617436e-03
2.863609718508115520e+00,9.648824526322108852e+01,1.968235298279594758e-01,2.881164233587875323e+00,2.859499928359402095e-03
2.916955876018795468e+00,9.632549611135623024e+01,2.498115276120718986e-01,2.875901157725031965e+00,3.890994288292390878e-03
2.971295818577333936e+00,9.632382003212913446e+01,2.639564778509365106e-01,2.873060186149317019e+00,2.355203951312031477e-03
3.026648059395691703e+00,9.630436935189122494e+01,2.000765326781840103e-01,2.867440018294391990e+00,2.652140862914352266e-03
3.083031456568276152e+00,9.600113639125387976e+01,2.387256589057623613e-01,2.861103524348940219e+00,3.388969581389093474e-03
3.140465219496751281e+00,9.585199612133060043e+01,2.127923033259380980e-01,2.859075335567129450e+00,2.840809555690169356e-03
3.198968915434536875e+00,9.568610459068047192e+01,1.366688059941355005e-01,2.854854433877036080e+00,4.123930148135829601e-03
3.258562476153225695e+00,9.547387440704207506e+01,2.671611293002903453e-01,2.848716181063852382e+00,2.520628678648054871e-03
3.319266204733188896e+00,9.528118911998217300e+01,2.901405416055287678e-01,2.842786250511507351e+00,2.246304904430186742e-03
3.381100782480684686e+00,9.526301363732079608e+01,1.811084547771846798e-01,2.836470817879130912e+00,2.985403860011205234e-03
3.444087275973822582e+00,9.510641767243185996e+01,1.840408500336064013e-01,2.830638964705302296e+00,3.511697480823821552e-03
3.508247144239791560e+00,9.484013457353299259e+01,1.885602749931545030e-01,2.828105401159248800e+00,3.494198370091505627e-03
3.573602246065787469e+00,9.474617779971219989e+01,2.902064463341278433e-01,2.820868176249020198e+00,2.812392518348284798e-03
3.640174847446140394e+00,9.451795975544193595e+01,2.596173058051221005e-01,2.817137879261514488e+00,3.561019626467800282e-03
3.707987629168170596e+00,9.452841894455386296e+01,1.839868562949619202e-01,2.810758359358074276e+00,2.642993234960713377e-03
3.777063694539366523e+00,9.420712566280325007e+01,1.771452346398562361e-01,2.803249142849067344e+00,3.408028106320405617e-03
3.847426577258503677e+00,9.395105066576518027e+01,2.736830808040529028e-01,2.799560324384541055e+00,3.316541899936734615e-03
3.919100249433403960e+00,9.377332308891507751e+01,3.301472933304255841e-01,2.793343684463229337e+00,2.174216552379792163e-03
3.992109129748051544e+00,9.350899216241647594e+01,3.049605984580434082e-01,2.786018198755233044e+00,2.685498245707983612e-03
4.066478091781855930e+00,9.346596813927922653e+01,2.305986647129307787e-01,2.781222743818408283e+00,2.878261796424284175e-03
4.142232472483895478e+00,9.327798686744178269e+01,3.913147192439339617e-01,2.774152221296476650e+00,2.417601134988885646e-03
4.219398080805025764e+00,9.293333104487867047e+01,1.784575720085524175e-01,2.769976856199273474e+00,2.455551594064576005e-03
4.298001206490796200e+00,9.268106851144180780e+01,1.984989500236796489e-01,2.761904807417836061e+00,3.083052163154157473e-03
4.378068629038168957e+00,9.238815853122216026e+01,3.459662209445635295e-01,2.756955983720200898e+00,2.363899114463015923e-03
4.459627626819092860e+00,9.235317935309726067e+01,1.587484563553750450e-01,2.748224866784565013e+00,2.386830708935750323e-03
4.542705986374045324e+00,9.204803724465919856e+01,2.418404894241027170e-01,2.742354449871660549e+00,4.178633497156633743e-03
4.627332011878690921e+00,9.157963298433897137e+01,2.201074879564792197e-01,2.734825417559049399e+00,2.187737977774715289e-03
4.713534534786908203e+00,9.166345186402337220e+01,2.776080693264591503e-01,2.730335058097125955e+00,2.401124394349167610e-03
4.801342923653451500e+00,9.130626013072073022e+01,2.925330312891655238e-01,2.724252281210950422e+00,2.537351583889866768e-03
4.890787094139590785e+00,9.095218133034720154e+01,3.553010051603956443e-01,2.717396526478711660e+00,3.025848758096373256e-03
4.981897519205161551e+00,9.065828717720776808e+01,3.304320801036682020e-01,2.708981531507976825e+00,2.390639161101116347e-03
5.074705239490467257e+00,9.045021543434850742e+01,3.136866159881561145e-01,2.699626258569479464e+00,3.008861457092426670e-03
5.169241873891599504e+00,9.005057716254786726e+01,1.421465170213714324e-01,2.694028240142144703e+00,1.926598122687951664e-03
5.265539630332757071e+00,8.963759057632974248e+01,1.986555245369384659e-01,2.687141895133687619e+00,4.040954430045529816e-03
5.363631316739241761e+00,8.934426552759815365e+01,2.623698835304938415e-01,2.681787150827050326e+00,2.843732558997793224e-03
5.463550352214877392e+00,8.929763941470289978e+01,2.424555500194131574e-01,2.672493178738802655e+00,2.346940558585466127e-03
5.565330778427647118e+00,8.870880222413173044e+01,2.503839737248008124e-01,2.663039998698676136e+00,2.152484073686558239e-03
5.669007271207435750e+00,8.830571065972142719e+01,3.221624173364993071e-01,2.657923119204274265e+00,2.530237053395496642e-03
5.774615152359821479e+00,8.789611210572044797e+01,2.176452387164028723e-01,2.648763451578246553e+00,2.170906779083893977e-03
5.882190401699955551e+00,8.758479717801188258e+01,2.670246915102096885e-01,2.641575662938330460e+00,2.858759681423077466e-03
5.991769669310619051e+00,8.727126442780991056e+01,2.446643141951268252e-01,2.633990790657613879e+00,3.318986838329712839e-03
6.103390288028621491e+00,8.677411283918624463e+01,2.938943570706043507e-01,2.626416660634124156e+00,2.721861493892478029e-03
6.217090286163826640e+00,8.633013336653998238e+01,3.069562987282350996e-01,2.617655941279497966e+00,2.827201903004858061e-03
6.332908400455115050e+00,8.623191074786615218e+01,1.990905270507436209e-01,2.611843334028020713e+00,2.710628302280999793e-03
6.450884089267693078e+00,8.572421632977916772e+01,2.277332996441363000e-01,2.602855556633221656e+00,1.998154625895873140e-03
6.571057546036271013e+00,8.524228928131324778e+01,2.047473961568500589e-01,2.593795716620566516e+00,2.008890109803699708e-03
6.693469712958660445e+00,8.487057359502414045e+01,1.846671522816579758e-01,2.587034130934942944e+00,2.975184716364834715e-03
6.818162294944479562e+00,8.443275469946945577e+01,1.745647270840122445e-01,2.578538268581073822e+00,1.608683647982499547e-03
6.945177773823695944e+00,8.393220501823022062e+01,2.818388837414654291e-01,2.569465576411738006e+00,1.201053200567583261e-03
7.074559422819878485e+00,8.330990114259331847e+01,2.582853115184312598e-01,2.563020155139115630e+00,3.587710271913009501e-03
7.206351321293052337e+00,8.303053652237356630e+01,1.890196413514594609e-01,2.551548400071448341e+00,2.324556913105897508e-03
7.340598369757211472e+00,8.255284515943353085e+01,1.687169543973860153e-01,2.544064416595870792e+00,2.671647333067839018e-03
7.477346305177586139e+00,8.214120511150395032e+01,2.913863041513480301e-01,2.536945663954288666e+00,4.607645666199019184e-03
7.616641716552890351e+00,8.157568925365649193e+01,2.465649667413973012e-01,2.527464586692571569e+00,3.370513393749123912e-03
7.758532060787834084e+00,8.090063451896244828e+01,2.987114511288863072e-01,2.519077261572051363e+00,2.679581152498351510e-03
7.903065678861345589e+00,8.044795845966363856e+01,3.908614339099176216e-01,2.509417657882223374e+00,2.060817085368559388e-03
8.050291812295979454e+00,8.007807488543913621e+01,1.948737172121609296e-01,2.501178413215978669e+00,3.026313573891208086e-03
8.200260619934129025e+00,7.948546112198431501e+01,1.982788255935680199e-01,2.492255611146457994e+00,2.733913810218691759e-03
8.353023195026777259e+00,7.882350678221806106e+01,1.930492134457590381e-01,2.482352011836848060e+00,1.696382419385029060e-03
8.508631582640578728e+00,7.841470762203796596e+01,1.255974372964173413e-01,2.472790508570213319e+00,3.446703531335840957e-03
8.667138797389231542e+00,7.779928808707298060e+01,2.205495266949117072e-01,2.464822574754736095e+00,2.364064177774613962e-03
8.828598841495148619e+00,7.718533584276644888e+01,2.291286704634489246e-01,2.453825628885232923e+00,2.618840315118567408e-03
8.993066723187620681e+00,7.662692643892216893e+01,1.040857423628401973e-01,2.447555214637290089e+00,3.421497034100421612e-03
9.160598475443707756e+00,7.606253861008627837e+01,2.646758187621732761e-01,2.436504120257106276e+00,3.524387880305462992e-03
9.331251175078246973e+00,7.552046586088229674e+01,1.498856423556631789e-01,2.429641281118017027e+00,2.762353911790971662e-03
9.505082962189506546e+00,7.510516232367260159e+01,2.369605943673910864e-01,2.419193249197471030e+00,3.507832865296816195e-03
9.682153059967081532e+00,7.445042935612039514e+01,1.868620501638317000e-01,2.408746338669581544e+00,2.975088620425414467e-03
