# Vcmd[V]	<I_LED>[A]	SE_I_LED[A]	<I_PD>[A]	SE_I_PD[A]
2.961000000000000298e+00	3.149446091729127956e-04	0.000000000000000000e+00	2.119038567809982288e-07	7.666544852001039002e-09
2.979999999999999982e+00	3.428857856435005270e-04	0.000000000000000000e+00	2.765495932879293992e-07	4.679886711915482792e-09
2.999000000000000110e+00	3.708269621140889631e-04	0.000000000000000000e+00	3.624104213491490646e-07	2.494672013138793588e-09
3.018000000000000238e+00	3.987681385846773450e-04	2.710505431213761085e-20	4.465751021780457826e-07	4.519526207323738478e-09
3.036999999999999922e+00	4.267093150552651306e-04	2.710505431213761085e-20	5.347747582588357637e-07	2.267757347754717093e-09
3.056000000000000050e+00	4.546504915258535668e-04	0.000000000000000000e+00	6.413272574393695309e-07	4.000725588144844091e-09
3.075000000000000178e+00	4.825916679964420029e-04	0.000000000000000000e+00	7.453355357714187712e-07	5.389991900149770667e-09
3.094000000000000306e+00	5.105328444670304390e-04	0.000000000000000000e+00	8.389217844298592253e-07	2.376989138299570577e-09
3.112999999999999989e+00	5.384740209376182246e-04	0.000000000000000000e+00	9.424397702025650970e-07	2.096421383989718773e-09
3.132000000000000117e+00	5.664151974082066608e-04	0.000000000000000000e+00	1.040895816578807391e-06	3.729969306405955785e-09
3.150999999999999801e+00	5.943563738787944464e-04	0.000000000000000000e+00	1.152039839321840263e-06	3.538562684647578974e-09
3.169999999999999929e+00	6.222975503493827741e-04	0.000000000000000000e+00	1.274142563323709237e-06	5.396676343114358014e-09
3.189000000000000057e+00	6.502387268199712102e-04	0.000000000000000000e+00	1.383954845466363424e-06	5.206017987338697463e-09
3.208000000000000185e+00	6.781799032905596464e-04	0.000000000000000000e+00	1.499206724787677977e-06	4.567018594616016825e-09
3.227000000000000313e+00	7.061210797611480825e-04	0.000000000000000000e+00	1.621846120374773845e-06	6.105311993351611203e-09
3.245999999999999996e+00	7.340622562317358681e-04	0.000000000000000000e+00	1.752641598942297342e-06	6.434900323266011349e-09
3.265000000000000124e+00	7.620034327023243043e-04	0.000000000000000000e+00	1.878872056247827212e-06	5.467267864815843315e-09
3.283999999999999808e+00	7.899446091729121983e-04	5.421010862427522170e-20	2.003048585264215922e-06	2.068532779770476062e-09
3.302999999999999936e+00	8.178857856435005260e-04	0.000000000000000000e+00	2.132088286423280527e-06	3.564371606250907791e-09
3.322000000000000064e+00	8.458269621140887453e-04	5.421010862427522170e-20	2.259623982028682970e-06	6.216510961283011525e-09
3.341000000000000192e+00	8.737681385846773983e-04	5.421010862427522170e-20	2.401583554683957363e-06	5.264147653015328869e-09
3.360000000000000320e+00	9.017093150552657260e-04	0.000000000000000000e+00	2.521473336593654228e-06	4.254313208603067302e-09
3.379000000000000004e+00	9.296504915258534032e-04	5.421010862427522170e-20	2.658205330474308677e-06	5.029989844761994857e-09
3.398000000000000131e+00	9.575916679964420562e-04	5.421010862427522170e-20	2.784117760173777490e-06	3.065877056635410493e-09
3.416999999999999815e+00	9.855328444670296249e-04	0.000000000000000000e+00	2.915463161476780831e-06	3.371229742730822879e-09
3.435999999999999943e+00	1.013474020937618061e-03	0.000000000000000000e+00	3.060477124265260850e-06	1.954303206883426429e-09
3.455000000000000071e+00	1.041415197408206497e-03	0.000000000000000000e+00	3.184613899830892406e-06	2.283075513983706374e-09
3.474000000000000199e+00	1.069356373878794933e-03	0.000000000000000000e+00	3.325394120113690685e-06	5.423540152574699037e-09
3.493000000000000327e+00	1.097297550349383369e-03	0.000000000000000000e+00	3.448126273752554872e-06	5.567606434471842190e-09
3.512000000000000011e+00	1.125238726819971155e-03	0.000000000000000000e+00	3.569115901133211846e-06	3.308826413790069159e-09
3.531000000000000139e+00	1.153179903290559591e-03	0.000000000000000000e+00	3.695266851537226557e-06	2.705109623641579041e-09
3.549999999999999822e+00	1.181121079761147377e-03	0.000000000000000000e+00	3.834589445292247787e-06	5.931135141318262558e-09
3.568999999999999950e+00	1.209062256231735813e-03	0.000000000000000000e+00	3.979040234194996708e-06	4.224758897382139479e-09
3.588000000000000078e+00	1.237003432702324249e-03	0.000000000000000000e+00	4.112101659455700515e-06	3.291827504661814802e-09
3.607000000000000206e+00	1.264944609172912685e-03	0.000000000000000000e+00	4.250410540216404750e-06	7.284559975904715882e-09
3.626000000000000334e+00	1.292885785643501121e-03	0.000000000000000000e+00	4.381616804441757411e-06	2.397080522336787297e-09
3.645000000000000018e+00	1.320826962114088907e-03	0.000000000000000000e+00	4.531487313797787062e-06	3.879929100298555522e-09
3.664000000000000146e+00	1.348768138584677343e-03	0.000000000000000000e+00	4.665231173296495551e-06	3.671797255194637202e-09
3.682999999999999829e+00	1.376709315055265129e-03	0.000000000000000000e+00	4.799458699779422522e-06	5.257941790490602945e-09
3.701999999999999957e+00	1.404650491525853348e-03	0.000000000000000000e+00	4.958737525814745024e-06	2.459003459529585275e-09
3.721000000000000085e+00	1.432591667996441784e-03	0.000000000000000000e+00	5.087227304238330634e-06	4.471175992969741338e-09
3.740000000000000213e+00	1.460532844467030220e-03	0.000000000000000000e+00	5.224277325725042326e-06	4.395513601318792831e-09
3.759000000000000341e+00	1.488474020937618656e-03	0.000000000000000000e+00	5.355291448271732932e-06	4.542900848969953714e-09
3.778000000000000025e+00	1.516415197408206442e-03	0.000000000000000000e+00	5.487478297615772541e-06	2.092213534412508500e-09
3.797000000000000153e+00	1.544356373878794878e-03	0.000000000000000000e+00	5.625277009091754089e-06	5.466155695877464121e-09
3.815999999999999837e+00	1.572297550349382664e-03	0.000000000000000000e+00	5.768362929518491104e-06	5.115812886732338163e-09
3.834999999999999964e+00	1.600238726819971317e-03	1.084202172485504434e-19	5.904790146943338294e-06	5.332408823144845884e-09
3.854000000000000092e+00	1.628179903290559536e-03	0.000000000000000000e+00	6.040296409425634480e-06	3.662801662646530620e-09
3.873000000000000220e+00	1.656121079761147972e-03	0.000000000000000000e+00	6.195434251007039537e-06	2.952758749543845938e-09
3.892000000000000348e+00	1.684062256231736625e-03	1.084202172485504434e-19	6.328296909013956296e-06	2.015863216508120301e-09
3.911000000000000032e+00	1.712003432702324194e-03	0.000000000000000000e+00	6.471608098994988799e-06	4.776683562559044761e-09
3.930000000000000160e+00	1.739944609172912630e-03	0.000000000000000000e+00	6.617721907254428505e-06	3.456598166606905698e-09
3.948999999999999844e+00	1.767885785643500633e-03	1.084202172485504434e-19	6.764438642850356888e-06	3.985951172185869347e-09
3.967999999999999972e+00	1.795826962114088852e-03	0.000000000000000000e+00	6.913394822838963916e-06	3.704425355652440244e-09
3.987000000000000099e+00	1.823768138584677288e-03	0.000000000000000000e+00	7.053002316324415733e-06	2.598636381362875637e-09
4.006000000000000227e+00	1.851709315055265507e-03	0.000000000000000000e+00	7.207490851543448694e-06	5.140026640814756780e-09
4.025000000000000355e+00	1.879650491525854160e-03	1.084202172485504434e-19	7.343739178439884661e-06	8.725727742545443277e-09
