# Vcmd[V]	<I_LED>[A]	SE_I_LED[A]	<I_PD>[A]	SE_I_PD[A]
3.225000000000000089e+00	1.888102032106745874e-03	4.816173654228365886e-07	4.652393473087238316e-07	3.436039485817594559e-09
3.250000000000000000e+00	1.923444993391280975e-03	4.265057149836033938e-07	4.813924994665487753e-07	5.900309944304397695e-09
3.275000000000000355e+00	1.958724004099136190e-03	4.645622297090363624e-07	4.854075979930630902e-07	4.243382163897112138e-09
3.299999999999999822e+00	1.994008022984682972e-03	4.710271627821203971e-07	4.995995799135147717e-07	3.889297252050035371e-09
3.325000000000000178e+00	2.029537635199347642e-03	4.179933384892938078e-07	5.187607431786623465e-07	4.271240611322490010e-09
3.350000000000000089e+00	2.064840723684567645e-03	4.098657118740238203e-07	5.219608959646466094e-07	1.391867605945637068e-09
3.375000000000000000e+00	2.100226254479482801e-03	4.433076342258940626e-07	5.316541123743667648e-07	4.448852921526037985e-09
3.400000000000000355e+00	2.135627002429693350e-03	4.606487320981280175e-07	5.490860005315601822e-07	3.358885611059653784e-09
3.424999999999999822e+00	2.171186567399398595e-03	4.474810038669093888e-07	5.711094122512527043e-07	3.381526992284183200e-09
3.450000000000000178e+00	2.206551198683562396e-03	4.201959004911831505e-07	5.759792099690547560e-07	4.510977950902474972e-09
3.475000000000000089e+00	2.242116349697616511e-03	4.793842638578163128e-07	5.948952269545305936e-07	7.403038862688448656e-09
3.500000000000000000e+00	2.277696140000308716e-03	4.468864901378520442e-07	6.126650194431632209e-07	5.420753069859150733e-09
3.524999999999999911e+00	2.313194065859961769e-03	4.657300586845157804e-07	6.222986056767472195e-07	4.885495762215098139e-09
3.550000000000000266e+00	2.348693051141819300e-03	4.482707293503339658e-07	6.203241842891212191e-07	2.670004019949400744e-09
3.575000000000000178e+00	2.384276116022232897e-03	3.942029299163161727e-07	6.492911987411355290e-07	7.276128956959268867e-09
3.600000000000000089e+00	2.419929391701441165e-03	3.919109459861195757e-07	6.559300250176493170e-07	3.952040321667896911e-09
3.625000000000000000e+00	2.455557819114409686e-03	4.439636958832830156e-07	6.740907264387313653e-07	3.313956770811670856e-09
3.649999999999999911e+00	2.491186342838487468e-03	3.774935282323189164e-07	6.757272434949178383e-07	6.322852334569159771e-09
3.675000000000000266e+00	2.526820548918023816e-03	4.191214051283671795e-07	6.941860957966818350e-07	3.217847512764896155e-09
3.700000000000000178e+00	2.562474402463888953e-03	4.255717554177789160e-07	7.072451043705427266e-07	6.899269630089090356e-09
3.725000000000000089e+00	2.598065461166387726e-03	4.149032237488073352e-07	7.118697558086730411e-07	4.947623548700280692e-09
3.750000000000000000e+00	2.633891807909291734e-03	4.583131751371301430e-07	7.346551086678856156e-07	3.548139309710847994e-09
3.774999999999999911e+00	2.669500491544821337e-03	3.993288044737825510e-07	7.410752909652327191e-07	7.089826683499724872e-09
3.800000000000000266e+00	2.705121117757924073e-03	4.386716877065329735e-07	7.456336866521005079e-07	5.049805427597049491e-09
3.825000000000000178e+00	2.740870511924371235e-03	3.911801595988868440e-07	7.578379960346737685e-07	3.835295299521164098e-09
3.850000000000000089e+00	2.776499228270668407e-03	4.672437118580985944e-07	7.735141067834078701e-07	2.055728160857634473e-09
3.875000000000000000e+00	2.812288687858650275e-03	4.178182343779832296e-07	7.851618678553751305e-07	3.717777226433635422e-09
3.900000000000000355e+00	2.848071020424532921e-03	4.395774352374548696e-07	7.972336657354232336e-07	4.761587929540700909e-09
3.925000000000000266e+00	2.883776496725067549e-03	4.330727483323864904e-07	8.066949870157242840e-07	4.998650652719702130e-09
3.950000000000000178e+00	2.919543419513437148e-03	4.420628935589984819e-07	8.269957492025889119e-07	3.853576548796248702e-09
3.975000000000000089e+00	2.955222313947760988e-03	4.145290568843741932e-07	8.276516811400885419e-07	4.281628943429855671e-09
4.000000000000000000e+00	2.991030361579868034e-03	4.249589347441043218e-07	8.463358029961453804e-07	4.208739822049236684e-09
