# Vcmd[V]	<I_LED>[A]	SE_I_LED[A]	<I_PD>[A]	SE_I_PD[A]
2.200000000000000178e+00	5.188236830935373176e-04	1.665036644029929897e-07	4.676802233406246164e-08	9.005299789188408236e-10
2.225000000000000089e+00	5.509627590108451701e-04	1.444934201457196940e-07	5.594444388393430832e-08	4.652967867492149408e-09
2.250000000000000000e+00	5.833326926575237766e-04	1.696765600552743889e-07	6.656524081133111524e-08	5.539931763413802408e-09
2.274999999999999911e+00	6.157922919471077536e-04	1.073701500664716544e-07	7.853765506448520468e-08	2.253362873344091791e-09
2.299999999999999822e+00	6.483628416347872372e-04	1.575078756694366938e-07	8.463980975577183498e-08	3.015248211973549537e-09
2.325000000000000178e+00	6.811316958968409874e-04	1.288748812734286007e-07	1.089424193188981587e-07	5.514443131714287896e-09
2.350000000000000089e+00	7.140350967788073157e-04	1.193808544575699793e-07	1.114336355663723950e-07	5.538019776030514636e-09
2.375000000000000000e+00	7.470994335246775118e-04	1.051912873917095933e-07	1.358488799066451662e-07	7.618780499101577406e-09
2.399999999999999911e+00	7.803566814227919524e-04	1.438484366120899616e-07	1.436604329805072172e-07	4.951980291368961523e-09
2.424999999999999822e+00	8.136305911428427665e-04	1.536589799934526404e-07	1.506636658889653472e-07	7.220475655295603383e-09
2.450000000000000178e+00	8.470545535714292269e-04	1.280808308566319871e-07	1.676980195385830275e-07	3.084730027500287368e-09
2.475000000000000089e+00	8.803496517355606987e-04	9.676055597625240506e-08	1.823206638422416825e-07	4.241338512994156352e-09
2.500000000000000000e+00	9.139012263841784969e-04	1.096497434201488559e-07	2.013029365789802048e-07	6.686761376308597454e-09
2.525000000000000355e+00	9.474648399214793395e-04	1.064330798075808057e-07	2.106118696313772552e-07	5.252988535369563475e-09
2.549999999999999822e+00	9.811049244796879020e-04	1.209995492540404705e-07	2.260693364009448047e-07	6.525675222204329167e-09
2.575000000000000178e+00	1.014935897656844051e-03	1.087674623585211529e-07	2.250755001320055942e-07	5.484435622031817868e-09
2.600000000000000089e+00	1.048795764166836515e-03	1.074120847765154257e-07	2.487486800581370891e-07	4.500911724159663548e-09
2.625000000000000000e+00	1.082710239075891862e-03	9.045820679315468488e-08	2.610324963422254548e-07	5.320371893139331003e-09
2.650000000000000355e+00	1.116796629315330077e-03	9.786715835802635069e-08	2.793588371414641352e-07	4.252352236528464990e-09
2.674999999999999822e+00	1.150746354090446217e-03	6.409448255209179306e-08	2.753569897652023467e-07	3.913208486556431051e-09
2.700000000000000178e+00	1.184923950950541238e-03	1.285603244746723057e-07	2.958631447809809210e-07	2.744272107071394097e-09
2.725000000000000089e+00	1.218964882346314834e-03	1.383634540892035398e-07	3.118042785347655493e-07	5.246922164291678976e-09
2.750000000000000000e+00	1.253165401250460036e-03	9.851649686893840327e-08	3.201591287689809683e-07	4.199347323762560505e-09
2.775000000000000355e+00	1.287344442777196797e-03	7.283444474507147352e-08	3.320321593952411764e-07	5.799047640050760745e-09
