# Vcmd[V]	<I_LED>[A]	SE_I_LED[A]	<I_PD>[A]	SE_I_PD[A]
2.560000000000000053e+00	4.123860359583164485e-04	1.296396904328507522e-07	9.780323597808406687e-07	3.843713074801734220e-09
2.580000000000000071e+00	4.364084236011529609e-04	9.864827294293502835e-08	1.035283954446864182e-06	3.849404980193794996e-09
2.600000000000000089e+00	4.603326702234514277e-04	9.946956179219342599e-08	1.093615517858468380e-06	3.770304468785241385e-09
2.620000000000000107e+00	4.843992646655287458e-04	8.396572429623619791e-08	1.158413642593303524e-06	1.859905269835687254e-09
2.640000000000000124e+00	5.086026208830365328e-04	1.333658503150240366e-07	1.230486648816773508e-06	7.119210533298518712e-09
2.660000000000000142e+00	5.330796932736239432e-04	1.161019938500923152e-07	1.300340087372946178e-06	3.900891405235802425e-09
2.680000000000000160e+00	5.578384756593751225e-04	8.626209778413148940e-08	1.365131586532655059e-06	4.913463706069494457e-09
2.700000000000000178e+00	5.824175415148787321e-04	1.461166500713892454e-07	1.427948664304738151e-06	2.377201510862430838e-09
2.719999999999999751e+00	6.070950373242467620e-04	1.626663418591838748e-07	1.497013659420885504e-06	5.706785973975347652e-09
2.740000000000000213e+00	6.317865945555974213e-04	1.880037878562475958e-07	1.563295912984003174e-06	5.092212477829317208e-09
2.759999999999999787e+00	6.565853460517732856e-04	1.028428363441229543e-07	1.635382170357725896e-06	3.029623467904748280e-09
2.780000000000000249e+00	6.816779427429064172e-04	1.020769867444229098e-07	1.696456721871601987e-06	4.886248233439029794e-09
2.799999999999999822e+00	7.066573738804258261e-04	1.356035624934710459e-07	1.766243904676511814e-06	2.131453799739156129e-09
2.820000000000000284e+00	7.317311899052146053e-04	1.412267535518859334e-07	1.831532321970690220e-06	2.850198899410783949e-09
2.839999999999999858e+00	7.568366922850141339e-04	1.232031422979616604e-07	1.899842001522443996e-06	5.700742404091364187e-09
2.859999999999999876e+00	7.821515750167757578e-04	1.117467883360073160e-07	1.969774946980131612e-06	4.969141591086183597e-09
2.879999999999999893e+00	8.073794888166967512e-04	1.075312997962593683e-07	2.028417912422669967e-06	3.021247727770117632e-09
2.899999999999999911e+00	8.325688781728344742e-04	1.386104756073192062e-07	2.088531755543238746e-06	3.368959993770651613e-09
2.919999999999999929e+00	8.579306644149020233e-04	1.297970783119460871e-07	2.164315083837414410e-06	2.638871836842986129e-09
2.939999999999999947e+00	8.832962067902387897e-04	1.259011851983381310e-07	2.229186089898638872e-06	4.231759034421570607e-09
2.959999999999999964e+00	9.089434591607392167e-04	1.128040143503625591e-07	2.289346312045091493e-06	3.374906293087680867e-09
2.979999999999999982e+00	9.345866664646427504e-04	1.343747426788798882e-07	2.356675406478158319e-06	4.169461318972775972e-09
3.000000000000000000e+00	9.600847329265932689e-04	1.423054900306158273e-07	2.422825148538750726e-06	2.982741645079874387e-09
3.020000000000000018e+00	9.855981128549476823e-04	1.263353062497614264e-07	2.488789374495807340e-06	4.088446945372107425e-09
