# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-7.793999999999999713e-03	4.954913990489139941e+00	4.237630528285027398e-01
-7.791999999999999447e-03	5.024884651434267546e+00	7.518887816778387911e-01
-7.790000000000000049e-03	5.010153985972134905e+00	1.098658017848159973e+00
-7.787999999999999784e-03	-5.014063861008715151e+00	1.173232047132099831e+00
-7.785999999999999518e-03	-4.999333195546583397e+00	1.035270092956810828e+00
-7.783999999999999253e-03	-4.958823865525720187e+00	9.532386607444769400e-01
-7.781999999999999855e-03	-4.984602530084451644e+00	8.562924226753547696e-01
-7.779999999999999589e-03	-4.995650529181050459e+00	7.630748860704297254e-01
-7.777999999999999324e-03	-5.010381194643182212e+00	6.735860509297018073e-01
-7.775999999999999926e-03	-4.999333195546583397e+00	6.064694245741557577e-01
-7.773999999999999660e-03	-5.025111860105314854e+00	5.132518879692307134e-01
-7.771999999999999395e-03	-5.025111860105314854e+00	4.685074703988667544e-01
-7.769999999999999997e-03	-5.021429193739781915e+00	3.902047396507297150e-01
-7.767999999999999731e-03	-5.028794526470847792e+00	3.417316206161686853e-01
-7.765999999999999466e-03	-5.036159859201913669e+00	2.746149942606226912e-01
-7.764000000000000068e-03	-5.039842525567446607e+00	2.410566810828496664e-01
-7.761999999999999802e-03	-5.039842525567446607e+00	1.627539503347126271e-01
-7.759999999999999537e-03	-5.047207858298512484e+00	9.936602544336362031e-02
-7.757999999999999272e-03	-5.017746527374248089e+00	5.835030933719660695e-02
-7.755999999999999873e-03	-5.032477192836380731e+00	2.106329469522659481e-02
-7.753999999999999608e-03	-5.036159859201913669e+00	-3.486722726772842340e-02
-7.751999999999999343e-03	-5.054573191029578361e+00	-6.842554044550143433e-02
-7.749999999999999944e-03	-5.043525191932979546e+00	-9.825515215907744404e-02
-7.747999999999999679e-03	-5.050890524664045422e+00	-1.429995697294414447e-01
-7.745999999999999414e-03	-5.025111860105314854e+00	-1.989300916923964768e-01
-7.744000000000000015e-03	-5.025111860105314854e+00	-2.287597034059724865e-01
-7.741999999999999750e-03	-5.032477192836380731e+00	-2.362171063343664890e-01
-7.739999999999999485e-03	-5.025111860105314854e+00	-2.660467180479424987e-01
-7.737999999999999219e-03	-5.021429193739781915e+00	-3.033337326899125386e-01
-7.735999999999999821e-03	-5.039842525567446607e+00	-3.182485385467004879e-01
-7.733999999999999556e-03	-5.039842525567446607e+00	-3.331633444034885483e-01
-7.731999999999999290e-03	-5.017746527374248089e+00	-3.741790605096555478e-01
-7.729999999999999892e-03	-5.025111860105314854e+00	-3.965512692948375273e-01
-7.727999999999999627e-03	-5.039842525567446607e+00	-3.928225678306405677e-01
-7.725999999999999361e-03	-5.025111860105314854e+00	-4.263808810084135370e-01
-7.723999999999999963e-03	-5.025111860105314854e+00	-4.562104927219895467e-01
-7.721999999999999698e-03	-5.028794526470847792e+00	-4.785827015071715818e-01
-7.719999999999999432e-03	-5.054573191029578361e+00	-4.823114029713685968e-01
-7.718000000000000034e-03	-5.025111860105314854e+00	-4.972262088281565462e-01
-7.715999999999999769e-03	-5.021429193739781915e+00	-5.009549102923536168e-01
-7.713999999999999503e-03	-5.025111860105314854e+00	-5.084123132207476470e-01
-7.711999999999999238e-03	-5.014063861008715151e+00	-5.307845220059295155e-01
-7.709999999999999840e-03	-4.999333195546583397e+00	-5.718002381120965705e-01
-7.707999999999999574e-03	-5.021429193739781915e+00	-5.456993278627175759e-01
-7.705999999999999309e-03	-5.017746527374248089e+00	-5.829863425046875047e-01
-7.703999999999999911e-03	-5.039842525567446607e+00	-5.867150439688846308e-01
-7.701999999999999645e-03	-5.021429193739781915e+00	-5.829863425046875047e-01
-7.699999999999999380e-03	-5.039842525567446607e+00	-5.979011483614755651e-01
-7.697999999999999982e-03	4.932817992295942311e+00	-3.518068517244735127e-01
-7.695999999999999716e-03	4.940183325027008188e+00	2.419787374241588740e-03
-7.693999999999999451e-03	4.980692655047871398e+00	3.864760381865326999e-01
-7.692000000000000053e-03	5.013836652337667843e+00	7.593461846062328213e-01
-7.689999999999999787e-03	5.032249984165333423e+00	1.094929316383962847e+00
-7.687999999999999522e-03	-4.999333195546583397e+00	1.143402435418523932e+00
-7.685999999999999256e-03	-5.010381194643182212e+00	1.038998794421007954e+00
-7.683999999999999858e-03	-4.962506531891253125e+00	9.420525563518857837e-01
-7.681999999999999593e-03	-5.006698528277649274e+00	8.413776168185669313e-01
-7.679999999999999327e-03	-4.984602530084451644e+00	7.630748860704297254e-01
-7.677999999999999929e-03	-5.003015861912116335e+00	6.698573494655049032e-01
-7.675999999999999664e-03	-4.999333195546583397e+00	6.027407231099588536e-01
-7.673999999999999398e-03	-5.003015861912116335e+00	5.281666938260187738e-01
-7.672000000000000000e-03	-5.014063861008715151e+00	4.535926645420787495e-01
-7.669999999999999735e-03	-5.006698528277649274e+00	3.902047396507297150e-01
-7.667999999999999469e-03	-5.025111860105314854e+00	3.268168147593806805e-01
-7.666000000000000071e-03	-5.028794526470847792e+00	2.559714869396376713e-01
-7.663999999999999806e-03	-5.014063861008715151e+00	2.000409649766826670e-01
-7.661999999999999540e-03	-5.032477192836380731e+00	1.627539503347126271e-01
-7.659999999999999275e-03	-5.032477192836380731e+00	1.030947269075606215e-01
-7.657999999999999877e-03	-5.036159859201913669e+00	6.207901080139360817e-02
-7.655999999999999611e-03	-5.028794526470847792e+00	9.877190302635591168e-03
-7.653999999999999346e-03	-5.050890524664045422e+00	-1.995242141094041854e-02
-7.651999999999999948e-03	-5.017746527374248089e+00	-7.215424190969843554e-02
-7.649999999999999682e-03	-5.028794526470847792e+00	-1.094412565516684477e-01
-7.647999999999999417e-03	-5.039842525567446607e+00	-1.504569726578354749e-01
-7.646000000000000019e-03	-5.032477192836380731e+00	-1.840152858356084720e-01
-7.643999999999999753e-03	-5.050890524664045422e+00	-1.989300916923964768e-01
-7.641999999999999488e-03	-5.054573191029578361e+00	-2.362171063343664890e-01
-7.639999999999999222e-03	-5.054573191029578361e+00	-2.772328224405334884e-01
-7.637999999999999824e-03	-5.028794526470847792e+00	-2.846902253689275186e-01
-7.635999999999999559e-03	-5.025111860105314854e+00	-3.331633444034885483e-01
-7.633999999999999293e-03	-5.028794526470847792e+00	-3.518068517244735127e-01
-7.631999999999999895e-03	-5.050890524664045422e+00	-3.629929561170645580e-01
-7.629999999999999630e-03	-5.032477192836380731e+00	-3.816364634380495224e-01
-7.627999999999999364e-03	-5.025111860105314854e+00	-4.077373736874285171e-01
-7.625999999999999966e-03	-5.050890524664045422e+00	-4.263808810084135370e-01
-7.623999999999999701e-03	-5.043525191932979546e+00	-4.562104927219895467e-01
-7.621999999999999435e-03	-5.025111860105314854e+00	-4.823114029713685968e-01
-7.620000000000000037e-03	-5.039842525567446607e+00	-4.934975073639595866e-01
-7.617999999999999772e-03	-5.025111860105314854e+00	-5.121410146849445510e-01
-7.615999999999999506e-03	-5.014063861008715151e+00	-5.345132234701266416e-01
-7.613999999999999241e-03	-5.039842525567446607e+00	-5.456993278627175759e-01
-7.611999999999999843e-03	-5.021429193739781915e+00	-5.419706263985206718e-01
-7.609999999999999577e-03	-5.043525191932979546e+00	-5.456993278627175759e-01
-7.607999999999999312e-03	-5.025111860105314854e+00	-5.792576410404906007e-01
