# #Ch2[V], #s_Ch2[V], #I[A], #s_I[A]
2.950641274793135871e+00,4.602160353163791719e-03,5.456836406572782450e-04,1.089765622709682476e-05
2.951748809881510560e+00,5.324622040335270923e-03,5.583716266163862721e-04,1.141368450412467753e-05
2.952893262806164820e+00,4.431678329716229672e-03,5.709517009879891067e-04,1.076273685239191087e-05
2.953816208713144320e+00,5.182717253830012444e-03,5.848763133579952750e-04,1.148180790460696581e-05
2.955366757836869862e+00,5.177718312248814035e-03,5.963766015706590878e-04,1.251222055189193834e-05
2.955182168655473340e+00,4.964042059702370759e-03,6.113937354938180904e-04,1.160894449742783029e-05
2.957692581522457953e+00,5.014850175121271167e-03,6.224476311105329052e-04,1.103650588460823390e-05
2.957138813978271052e+00,4.644316627233307723e-03,6.372569852655552303e-04,1.069730501032500846e-05
2.958024842048970982e+00,5.332295516056496931e-03,6.529517494288245840e-04,1.132891948574874613e-05
2.959427719827580017e+00,4.777972493143015260e-03,6.650445459468984181e-04,1.122189207361868940e-05
2.958689363101996150e+00,5.239992366360111259e-03,6.806079406466342173e-04,1.115397427502121756e-05
2.960498337079675579e+00,4.840602722609891467e-03,6.916209510057669697e-04,1.045705862513304299e-05
2.960609090588512959e+00,4.739307011962448288e-03,7.057747922289010203e-04,1.062130115033773702e-05
2.963082585619218001e+00,4.865317030368371091e-03,7.173119439957125355e-04,1.068046538865281748e-05
2.962934914274101939e+00,5.004784281853127612e-03,7.320603043759712396e-04,1.088913054626202637e-05
2.964780806088060938e+00,5.130118257136368105e-03,7.425364379332127177e-04,1.046438115683199638e-05
2.965260737959690029e+00,4.924346728192477256e-03,7.549677154597272130e-04,1.224003368369790011e-05
2.966552862229461685e+00,4.645196927344310590e-03,7.688320043388740957e-04,1.059469848579210612e-05
2.967217383282485965e+00,4.441815617067198553e-03,7.847988934645685685e-04,1.062936287708441715e-05
