# #Ch2[V], #s_Ch2[V], #I[A], #s_I[A]
2.084844178373848056e+00,5.022182823955408278e-03,4.767152498713295892e-06,1.087105781747470835e-05
2.097691585399001468e+00,5.012403575080017805e-03,6.785961074971894871e-06,1.116491527422883586e-05
2.111055842132064875e+00,4.911321166012286993e-03,9.921419364316139735e-06,1.127529381228855306e-05
2.123349481613030498e+00,4.800738423088397357e-03,1.393424631571333717e-05,1.204370553979337030e-05
2.135901545947951341e+00,5.361100343230676239e-03,1.847858779775576947e-05,1.217631800303038728e-05
2.147087650340542275e+00,4.339377189939599803e-03,2.299410913252233842e-05,1.025677325396917431e-05
2.156833959118245492e+00,4.431063203288169126e-03,2.994870087056214364e-05,1.030945615471094876e-05
2.164808211754548406e+00,4.984864934890089264e-03,4.267287597854702410e-05,1.214417995467747436e-05
2.174628356204808988e+00,5.310011886613156054e-03,5.171733256892548249e-05,1.158931376715164496e-05
2.182897951531345360e+00,4.562303757742194703e-03,6.030735521716480224e-05,1.150162369959339636e-05
2.191425971711835174e+00,5.305903559586857589e-03,7.125199455720679918e-05,1.059379725924284140e-05
2.198440360604879018e+00,4.932642932302338731e-03,8.045463402803504241e-05,1.133402926668950207e-05
2.205565503006760242e+00,5.351685745553290234e-03,9.367681153204749712e-05,1.071107300454459363e-05
2.210364821723054263e+00,5.309241817449994114e-03,1.045819082429948579e-04,1.065126729029274361e-05
2.214794962076555240e+00,5.201617014800730479e-03,1.212311175354631383e-04,1.145317807608472317e-05
2.220701815881223951e+00,4.968981679315550778e-03,1.335102426759950632e-04,1.074953632758885848e-05
2.224541270854258901e+00,4.704091501508619010e-03,1.503310384663545534e-04,1.052775001566540269e-05
2.230817303021718878e+00,5.521160849894086314e-03,1.629788053304199015e-04,1.179345571491276854e-05
2.234250661795682102e+00,5.711178533512386093e-03,1.799678361991411324e-04,1.143089459982147849e-05
2.239419158874766946e+00,4.508210508518403076e-03,1.952095028667222287e-04,1.016152302026770656e-05
2.243037106830126692e+00,4.811797760140083292e-03,2.127850094856974955e-04,1.035772393115790520e-05
2.246027451568739952e+00,5.229577981890047578e-03,2.256532935727943593e-04,1.104205394706066242e-05
2.249608481687820571e+00,5.117083790785678828e-03,2.449989519850321608e-04,1.171305313391113117e-05
2.253374100988296824e+00,5.003422472820923464e-03,2.608022959590264116e-04,1.225441170717718166e-05
2.257176638125052648e+00,4.679690714117384388e-03,2.825032413469711376e-04,1.105733070991150180e-05
2.259613215319478119e+00,4.621664876656870515e-03,2.982234742379861960e-04,9.577294478581925463e-06
2.263120409765999597e+00,4.438132009840282249e-03,3.132808210741433908e-04,1.089668381510440830e-05
2.266110754504612856e+00,4.559315414094299197e-03,3.323154801180858240e-04,1.092621246561312003e-05
2.268584249535317898e+00,4.578704784960220368e-03,3.484640079395836046e-04,1.055890822723875499e-05
2.273198979070214953e+00,4.164685385936561790e-03,3.629114190887758307e-04,1.059549382126312820e-05
2.274860281702778320e+00,4.435981826368471347e-03,3.830426213893067594e-04,1.062165697143176844e-05
2.277001516206970333e+00,4.357868715273717844e-03,4.018782143558931059e-04,1.038339253826792606e-05
2.280693299834888332e+00,4.436596270838082980e-03,4.195060010588558480e-04,1.001907591175608183e-05
2.281653163578146959e+00,4.194035188005817115e-03,4.385775257176283918e-04,1.022970167590998180e-05
2.284163576445131127e+00,4.158790569980051754e-03,4.571383125861602976e-04,1.109924763540338046e-05
2.285566454223739274e+00,5.192438223433928218e-03,4.790973090351904472e-04,1.130997469217584343e-05
2.289442827033053351e+00,4.938441982678813333e-03,4.922712302193334687e-04,1.103624045185575716e-05
2.292802350134458766e+00,5.787275623440344199e-03,5.130686679335687934e-04,1.197100879384298440e-05
2.295460434346559442e+00,5.439088669156693506e-03,5.299109128089200035e-04,1.182843658149096120e-05
2.298746121775406603e+00,5.360846112034587177e-03,5.470634867686612708e-04,1.181656896910342617e-05
2.301551877332624230e+00,5.454852363449113305e-03,5.668521863573159313e-04,1.093456865539972141e-05
2.301884137859136370e+00,5.025709542915971460e-03,5.859351058424917737e-04,1.174845656676482293e-05
2.303988454527049701e+00,4.799034724534799977e-03,6.064336092987412073e-04,1.093244837054037362e-05
2.308012498681479840e+00,5.358048772728281339e-03,6.203555384724430185e-04,1.140393046916069028e-05
2.309563047805205827e+00,4.586437581921988527e-03,6.409177168390825215e-04,1.086639099837217400e-05
2.313439420614519015e+00,5.435579417610776967e-03,6.562900847469700953e-04,1.143432687205184690e-05
2.314214695176382453e+00,5.866335955883314641e-03,6.768663390756324066e-04,1.218938121666040975e-05
2.316503601025691417e+00,4.633151682137646998e-03,6.957528715583932754e-04,1.078804689557057606e-05
2.319789288454538578e+00,4.855221837180449806e-03,7.137633759469134281e-04,1.078256770078725449e-05
2.319863124127096388e+00,5.130649572787647321e-03,7.343523656697939972e-04,1.064959151179667756e-05
2.322521208339197951e+00,4.747926552903770914e-03,7.529104714027018939e-04,9.923167753122426270e-06
2.324551689334552584e+00,5.322061756473064204e-03,7.701394556670456337e-04,1.180249103501187102e-05
2.327025184365257182e+00,4.989237624270172547e-03,7.883255682568946496e-04,1.106139222703860136e-05
2.328391144307587091e+00,4.574833484979957607e-03,8.102316143380305490e-04,1.030972100503600357e-05
2.330052446940149569e+00,5.071064953172778680e-03,8.288078177364001679e-04,1.085479428779303201e-05
2.331750667408991617e+00,5.182191276535987740e-03,8.489383497530249723e-04,1.147001992363400992e-05
2.334519505129929673e+00,4.278011087173668424e-03,8.680306511522034411e-04,9.701013467480115845e-06
2.336771493142959955e+00,5.308985102907075662e-03,8.881511289102378458e-04,1.165213300157261160e-05
2.337879028231335088e+00,5.044657187434278302e-03,9.052360083168382301e-04,1.128759114634055638e-05
2.339688002209015405e+00,4.576322834072065610e-03,9.227371175436091489e-04,1.117788894960210044e-05
2.343305950164375151e+00,5.168233373527018719e-03,9.387040046086265804e-04,1.141944045040706823e-05
2.343601292854608165e+00,4.335920895333096776e-03,9.612193160928232758e-04,1.020132283670111235e-05
