# #Ch2[V], #s_Ch2[V], #I[A], #s_I[A]
1.903466848734245209e+00,4.970352924665352896e-03,8.843825696746331674e-04,1.065662394743435967e-05
1.903466848734245431e+00,4.997971526140152637e-03,9.057235890905058562e-04,1.108574804105188299e-05
1.902765409844940914e+00,4.112653589472914026e-03,9.296511351869298813e-04,1.027114763245654462e-05
1.904242123296108202e+00,5.151063554317606569e-03,9.506972399875670589e-04,1.089908315622511411e-05
1.906826371835650402e+00,5.264126171903754300e-03,9.695784101990808854e-04,1.076740828782526814e-05
1.906567946981696293e+00,4.840602722609907947e-03,9.888329161821471109e-04,1.094656157138734645e-05
1.907564728561233824e+00,5.189550107494417253e-03,1.010852906405941207e-03,1.097392283422083219e-05
1.908192331777979867e+00,5.270594908119838849e-03,1.033683909245775110e-03,1.096234255874797717e-05
1.910555073299847084e+00,4.623728712307930214e-03,1.051872032687341902e-03,1.120256129145615645e-05
1.910961169498917922e+00,4.645490323645087676e-03,1.071007232256503865e-03,9.621036192351461791e-06
1.911588772715664186e+00,4.294228379907686667e-03,1.094267200310722983e-03,9.963977777004300366e-06
1.913102404003110601e+00,4.987325044403616986e-03,1.115580738086450812e-03,1.143429682867233820e-05
1.914726788799394175e+00,5.325901720721048019e-03,1.133246060688149464e-03,1.130258882906479466e-05
1.914357610436602242e+00,5.303077238514822267e-03,1.154915506853875775e-03,1.251523635245252882e-05
1.916203502250561463e+00,4.119937902319384740e-03,1.174185427306098390e-03,1.020502689854637656e-05
1.915686652542653023e+00,4.461104653793680243e-03,1.196447381777232880e-03,1.013009575755621304e-05
1.917274119502657692e+00,5.364404252357522600e-03,1.215185787698812130e-03,1.147496601390548721e-05
1.917901722719403734e+00,4.644023156781743565e-03,1.236461791636483259e-03,1.093888736102885311e-05
1.918529325936149554e+00,4.817176444416336467e-03,1.257630554270556134e-03,1.077072293077008934e-05
1.918603161608708474e+00,5.440341424699777530e-03,1.278434026600628768e-03,1.191782337128942081e-05
1.919378436170571023e+00,4.323644496604085730e-03,1.299332004840088881e-03,1.067455830516712393e-05
1.919858368042200336e+00,4.755670782348993784e-03,1.321575861645760998e-03,1.073718694326501379e-05
1.921741177692438463e+00,4.712197019030082631e-03,1.341381318332064265e-03,1.047866919999916675e-05
1.922258027400347125e+00,5.254537827696438394e-03,1.360836230960299747e-03,1.149255009029990460e-05
1.923623987342676367e+00,4.961295701506212609e-03,1.383921931381007671e-03,1.263609534219398946e-05
1.923550151670118114e+00,5.296133510338973081e-03,1.402744120730155079e-03,1.252495509181050230e-05
1.924473097577098057e+00,4.592080237214542400e-03,1.426266829772120191e-03,1.061705594921637683e-05
1.926134400209660757e+00,4.885165850637957982e-03,1.445540101643873806e-03,1.100314889131302373e-05
1.925728304010590142e+00,5.317706444897598098e-03,1.465011771369758870e-03,1.200671188454048757e-05
1.927205017461757208e+00,4.902988884097917756e-03,1.486701323991982977e-03,1.042804134051970255e-05
1.929309334129670317e+00,4.862514912396915037e-03,1.504840518769092264e-03,1.089494951397683652e-05
1.928201799041294962e+00,4.531730193233004557e-03,1.529365265158266849e-03,9.821375720799478521e-06
1.929050909275715764e+00,5.101879348384352753e-03,1.546722939811201025e-03,1.099896064356288190e-05
1.930416869218045450e+00,5.174558597768955104e-03,1.569540536972915479e-03,1.136178957200527455e-05
