# #Ch2[V], #s_Ch2[V], #I[A], #s_I[A]
2.584748599430199967e+00,5.072945961883969755e-03,6.180657435548095194e-04,1.070790033536294054e-05
2.586262230717646382e+00,4.541644162878184093e-03,6.383068682945587007e-04,1.044691166005137110e-05
2.587960451186488875e+00,5.434325564299472867e-03,6.564534361946346500e-04,1.206370607643424989e-05
2.589363328965097466e+00,4.986505142755112870e-03,6.770182956968987583e-04,1.170416970809534152e-05
2.591098467270219530e+00,5.131712039059754642e-03,6.985422943763840761e-04,1.083032147830395658e-05
2.594014976336274092e+00,5.192175733823537788e-03,7.157015711751861520e-04,1.144767761867490359e-05
2.594864086570695338e+00,4.974738369810643296e-03,7.375633805792072535e-04,1.084288666299190955e-05
2.595528607623720507e+00,4.466905634133073490e-03,7.565866468574299888e-04,1.044244837359247349e-05
2.598555870198613338e+00,4.770264469283874535e-03,7.758887388764591168e-04,1.016758766675240476e-05
2.600881693884201429e+00,4.902154876967300574e-03,7.955252902004925943e-04,1.129317277967124669e-05
2.601472379264668788e+00,5.085021546600650491e-03,8.150324829127135462e-04,1.076951573875010537e-05
2.602801421370718238e+00,5.604219962608167349e-03,8.352769590719994744e-04,1.149506259854757749e-05
2.606936219033986202e+00,6.110543192478878720e-03,8.495186013047733957e-04,1.193769701818417890e-05
2.606308615817241048e+00,5.280412210216116169e-03,8.725332557528067256e-04,1.095262244008336673e-05
2.608819028684224772e+00,4.589111283495464835e-03,8.917374904429237713e-04,1.121591383321341434e-05
2.610037317281437286e+00,5.254278440416117885e-03,9.102144959445704689e-04,1.101947899451660449e-05
2.611772455586558461e+00,5.553404713228963369e-03,9.307197022398813616e-04,1.200183727488128391e-05
2.613507593891680081e+00,5.500385936971450944e-03,9.503669781064107668e-04,1.166769119793827306e-05
2.616313349448898151e+00,5.552422939206780490e-03,9.669384385871419504e-04,1.191429361865939984e-05
2.616054924594943376e+00,5.991163148628324796e-03,9.890884597673387305e-04,1.215102896846686788e-05
2.618491501789368847e+00,4.454684255186590162e-03,1.008562138284260952e-03,1.031529359082627893e-05
2.619156022842394460e+00,4.966786899314823076e-03,1.030802643670403152e-03,1.084587479867127367e-05
2.621223421674029108e+00,5.306417274411972217e-03,1.048084578302639841e-03,1.226281543116619073e-05
2.622773970797754206e+00,4.734127754376404526e-03,1.067145378418916457e-03,1.102627388598080213e-05
2.625210547992180121e+00,5.198996156562718518e-03,1.086672677587636722e-03,1.154687066433965241e-05
2.624878287465667537e+00,4.661598682532548145e-03,1.109306625201830201e-03,1.079322676676797445e-05
2.626281165244275684e+00,4.536239229066913077e-03,1.130675794481073634e-03,1.031355620659337409e-05
2.627536371677767768e+00,4.557820507527990742e-03,1.150439025341982047e-03,1.127353595818447015e-05
2.630895894779173627e+00,4.787661240777971693e-03,1.165928018528151339e-03,1.050350340609688720e-05
2.632298772557781774e+00,4.318597929962588247e-03,1.185634947601637212e-03,1.041017735744833687e-05
2.632704868756853056e+00,5.067300841029829389e-03,1.204609285215401792e-03,1.120042392023066475e-05
2.635436788641512429e+00,4.675028505523637183e-03,1.224399325371866966e-03,1.069075603808439600e-05
2.636027474021979344e+00,4.743906049446375804e-03,1.244978931120063314e-03,1.056305011737963924e-05
2.637098091274074907e+00,4.457742741132328032e-03,1.264852754704097948e-03,9.996591217554653204e-06
