# #Ch2[V], #s_Ch2[V], #I[A], #s_I[A]
1.785219019132037621e+00,4.441815617067224574e-03,4.626046159052217121e-04,1.119531616179720269e-05
1.787138746618555318e+00,4.470260655737199121e-03,4.897018109522375921e-04,1.029696005196058097e-05
1.790793612410193081e+00,4.599790548499331326e-03,5.127995744225726394e-04,1.068041290558054364e-05
1.789907584339493374e+00,4.836659257415511746e-03,5.430040881989705139e-04,1.083612196510973169e-05
1.793710121476248309e+00,4.756530473980036776e-03,5.682439966056280611e-04,1.175303162700485394e-05
1.796405123524628555e+00,4.594157363207489880e-03,5.941474613510483492e-04,1.015365973993075415e-05
1.798287933174866460e+00,4.349729595562662650e-03,6.207091201639862877e-04,1.122571525713171586e-05
1.800207660661384157e+00,4.988418036975265403e-03,6.454470065318615880e-04,1.091642207357098250e-05
1.802754991364646786e+00,4.810947944498676632e-03,6.709241871985173640e-04,1.047720916985477308e-05
1.805080815050234877e+00,4.590002171254269590e-03,6.943678048002597343e-04,1.053108514028929367e-05
1.807074378209310828e+00,4.963767492260666263e-03,7.219998657974517143e-04,1.156452053837094850e-05
1.807812734934894028e+00,4.565588676599209583e-03,7.502445436172341898e-04,1.154610328502284049e-05
1.809326366222340665e+00,4.954973300891684501e-03,7.760622161440489455e-04,1.123799603960386117e-05
1.810138558620482785e+00,4.969804471927167025e-03,8.048953805658049139e-04,1.077493611876301734e-05
1.814421027628866812e+00,5.165595577523276853e-03,8.285715763795211027e-04,1.173135164472811498e-05
1.814974795173055044e+00,5.270594908119870942e-03,8.558008132346590696e-04,1.131697545061655265e-05
1.815417809208405009e+00,5.270077701415508756e-03,8.854449902724545202e-04,1.127573002298645981e-05
1.817559043712597688e+00,5.060572248444377211e-03,9.135033353484109039e-04,1.035901925583608877e-05
1.818814250146089551e+00,4.950845646299539653e-03,9.399155270323543247e-04,1.108903438330555098e-05
1.821176991667957212e+00,5.217575741491453645e-03,9.652351971631432850e-04,1.184816103378754065e-05
1.822764458627960993e+00,4.894642417935682853e-03,9.892820476127917127e-04,1.106850447031048194e-05
1.824278089915407630e+00,4.952221913428174818e-03,1.016976442952561080e-03,1.086485657833141242e-05
1.825385625003782986e+00,4.991695578746029385e-03,1.045857865754866532e-03,1.106249073943079835e-05
1.827268434654020890e+00,4.982677151183613831e-03,1.073438316951977594e-03,1.067283534729102455e-05
1.828523641087513196e+00,5.418753679213689743e-03,1.098456371689155624e-03,1.134529709840855352e-05
1.830074190211239182e+00,4.942579995847393159e-03,1.124702339146454620e-03,1.092084564130413520e-05
1.830701793427985224e+00,4.953047490147020546e-03,1.154879371282706334e-03,1.183703427289335140e-05
1.833175288458690044e+00,4.907989950730037854e-03,1.181644788160342904e-03,1.143951444950050469e-05
1.832916863604735713e+00,5.594483645382604051e-03,1.210282908208175140e-03,1.251461793126201221e-05
1.834725837582415142e+00,5.482516212480879024e-03,1.237596596714106607e-03,1.157222832072196870e-05
1.836534811560095015e+00,5.191650714788525155e-03,1.264374078702050269e-03,1.175962254586371692e-05
1.837014743431724551e+00,4.836941040121812106e-03,1.290693105044422471e-03,1.155893226949089079e-05
1.838934470918241582e+00,5.261795480088780896e-03,1.318058403350434206e-03,1.127144412948376220e-05
1.839672827643825226e+00,4.974738369810680592e-03,1.345927736607625607e-03,1.053871656898684713e-05
1.839488238462429148e+00,5.165859417734775666e-03,1.374564516087645486e-03,1.120306973903813000e-05
1.841555637294063574e+00,5.198209641418960122e-03,1.399889548489682573e-03,1.241300915342612962e-05
1.842035569165692444e+00,5.292014409182779072e-03,1.429693917198969662e-03,1.139624055452033973e-05
1.844582899868955961e+00,5.386209832899552588e-03,1.455171097865625221e-03,1.137863795938152306e-05
1.844767489050351816e+00,5.540628081618315971e-03,1.483586691899394178e-03,1.136740635186508455e-05
1.846318038174077358e+00,5.833719061571182411e-03,1.510851451740867490e-03,1.267810118417841972e-05
1.847314819753615112e+00,5.076437414636229481e-03,1.538930575617909443e-03,1.082840788973409093e-05
1.848717697532224147e+00,4.970352924665322539e-03,1.565608189425220535e-03,1.030493508245378117e-05
1.848643861859665893e+00,4.514554785115398525e-03,1.595154509134103470e-03,1.139867118618168613e-05
1.849862150456878407e+00,4.650768292009325143e-03,1.621942715664544468e-03,1.044423010662903678e-05
1.853147837885725568e+00,4.906323494923692068e-03,1.647031146090489504e-03,1.084918546573257882e-05
1.852483316832700178e+00,4.753377511193376294e-03,1.674228881662726594e-03,1.046812687840440834e-05
